Accident_Index,Location_Easting,Location_Northing,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_District,Local_Authority_Highway,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Date_Time
2018950000413,324680.0,674440.0,-3.207912,55.957046999999996,95,3,3,1,5,923,S12000036,6,0,6,20,6,4,6,0,0,0,1,1,1,0,0,1,1,,2018-03-29 17:15:00
2018950000414,337066.0,671369.0,-3.00886,55.931245,95,3,3,3,3,921,S12000010,3,1,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,,2018-03-27 20:20:00
2018950000415,325719.0,639412.0,-3.1817029999999997,55.642556000000006,95,3,2,2,6,914,S12000026,6,0,6,30,9,4,6,0,0,0,1,1,1,0,0,1,1,,2018-03-23 15:40:00
2018950000417,322730.0,676100.0,-3.2396119999999997,55.971647999999995,95,3,2,1,5,923,S12000036,6,0,6,20,9,4,6,0,0,8,4,9,1,0,0,1,1,,2018-03-29 22:30:00
2018950000418,322830.0,673250.0,-3.237192,55.946064,95,3,2,1,2,923,S12000036,3,8,6,20,9,4,6,0,0,0,1,1,1,0,0,1,1,,2018-03-26 19:20:00
2018950000419,306704.0,671459.0,-3.494682,55.927116000000005,95,3,2,1,4,940,S12000040,3,89,1,50,2,4,6,0,0,0,1,2,2,0,0,1,1,,2018-03-21 09:20:00
2018950000420,298332.0,666282.0,-3.6266589999999996,55.878921999999996,95,3,2,1,6,940,S12000040,1,8,3,70,0,-1,-1,0,0,0,1,1,2,0,0,1,1,,2018-03-30 06:40:00
2018950000421,393714.0,661392.0,-2.1019650000000003,55.845693999999995,95,2,2,3,2,914,S12000026,3,1,6,60,3,4,3,1107,0,0,1,1,1,0,0,2,1,,2018-03-26 19:50:00
2018950000422,323510.0,675830.0,-3.227041,55.969348,95,3,3,2,3,923,S12000036,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,,2018-03-27 18:30:00
2018950000423,328786.0,674188.0,-3.1421,55.95541,95,1,1,1,6,923,S12000036,3,1140,6,30,8,4,6,0,0,4,1,1,1,0,0,1,1,,2018-03-30 11:30:00
2018950000424,328610.0,675710.0,-3.145321,55.96905600000001,95,3,2,2,6,923,S12000036,6,0,6,20,1,4,3,199,0,0,5,1,2,0,0,1,2,,2018-03-30 19:10:00
2018950000426,329880.0,674620.0,-3.1246959999999997,55.959452,95,3,2,1,6,923,S12000036,3,199,6,40,3,4,6,0,0,0,1,2,2,0,0,1,1,,2018-03-30 15:00:00
2018950000427,318890.0,672830.0,-3.300133,55.941641000000004,95,3,2,2,4,923,S12000036,3,8,6,40,3,4,6,0,0,4,1,1,1,0,0,1,1,,2018-03-28 19:35:00
2018950000428,322380.0,674430.0,-3.244736,55.956591,95,3,2,1,6,923,S12000036,3,90,6,30,3,4,6,0,1,5,1,1,1,0,0,1,1,,2018-03-30 10:10:00
2018950000429,296172.0,673651.0,-3.664,55.944642,95,3,1,1,7,940,S12000040,3,706,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,,2018-03-31 12:50:00
2018950000430,324160.0,674320.0,-3.2162040000000003,55.955888,95,3,2,1,7,923,S12000036,6,0,6,20,3,4,5,0,0,0,4,2,2,0,0,1,1,,2018-03-31 20:40:00
2018950000431,301984.0,674769.0,-3.571392,55.955904000000004,95,3,2,1,7,940,S12000040,6,0,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,,2018-03-31 17:00:00
2018950000432,327890.0,670410.0,-3.155434,55.921339,95,3,1,1,3,923,S12000036,6,0,6,20,9,4,6,0,0,0,1,9,1,0,0,1,2,,2018-03-20 16:55:00
2018950000433,338853.0,672869.0,-2.980604,55.944951,95,2,1,1,1,921,S12000010,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,,2018-01-04 10:07:00
2018950000434,377075.0,672240.0,-2.368608,55.942651,95,3,1,1,7,921,S12000010,3,1,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,,2018-03-31 18:10:00
2018950000435,322870.0,676480.0,-3.237478,55.975083,95,2,1,1,1,923,S12000036,6,0,6,20,6,4,6,0,0,0,1,1,1,0,0,1,1,,2018-01-04 19:54:00
2018950000436,325650.0,673940.0,-3.192242,55.952707,95,3,1,1,7,923,S12000036,6,0,6,20,3,2,3,8,0,5,1,1,1,0,0,1,2,,2018-03-31 16:58:00
2018950000437,331996.0,666047.0,-3.08865,55.88274499999999,95,3,1,1,2,929,S12000019,3,6094,6,30,3,4,3,7,0,8,1,2,2,0,0,1,1,,2018-02-04 16:05:00
2018950000438,324770.0,668310.0,-3.204759,55.901996999999994,95,3,2,2,3,923,S12000036,3,702,6,30,3,4,4,701,0,5,1,3,1,0,0,1,1,,2018-03-04 00:05:00
2018950000439,333342.0,672573.0,-3.06875,55.94155799999999,95,2,2,1,1,921,S12000010,6,0,1,30,1,4,6,0,0,5,1,1,1,0,0,1,1,,2018-02-18 13:55:00
2018950000440,352475.0,684587.0,-2.7646040000000003,56.051767000000005,95,3,2,3,2,921,S12000010,3,198,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,,2018-02-04 17:18:00
2018950000441,320020.0,675060.0,-3.2827089999999997,55.961861,95,3,1,1,3,923,S12000036,6,0,6,30,3,4,3,90,0,5,4,1,1,0,0,1,2,,2018-03-27 21:25:00
2018950000442,332591.0,672249.0,-3.08069,55.938542000000005,95,3,2,2,5,921,S12000010,6,0,6,40,0,-1,-1,0,0,5,1,1,1,0,0,1,1,,2018-03-29 17:20:00
2018950000443,364751.0,643360.0,-2.562147,55.68243199999999,95,3,2,2,2,914,S12000026,3,6089,6,30,3,4,6,0,0,0,1,1,1,0,0,2,1,,2018-12-03 11:05:00
2018950000444,326903.0,665817.0,-3.16998,55.879932,95,3,2,1,3,929,S12000019,6,0,6,40,0,-1,-1,0,0,0,1,2,2,0,0,1,1,,2018-03-04 14:00:00
2018950000445,321818.0,671514.0,-3.252888,55.93030699999999,95,3,2,1,2,923,S12000036,3,71,6,30,3,4,6,0,0,0,1,9,1,0,0,1,2,,2018-05-02 17:20:00
2018950000447,350827.0,615307.0,-2.778565,55.429178,95,3,2,1,4,914,S12000026,6,0,6,30,0,-1,-1,0,0,0,5,3,2,0,0,1,1,,2018-04-04 17:25:00
2018950000448,350666.0,615632.0,-2.781166,55.432081999999994,95,2,1,1,4,914,S12000026,6,0,6,30,3,4,6,0,0,8,1,3,2,0,0,1,1,,2018-04-04 17:20:00
2018950000449,296615.0,665982.0,-3.653977,55.875862,95,3,2,1,7,940,S12000040,3,801,6,40,0,-1,-1,0,0,0,1,1,2,0,0,2,1,,2018-03-31 16:50:00
2018950000450,338853.0,672869.0,-2.980604,55.944951,95,3,1,1,5,921,S12000010,3,199,7,60,0,-1,-1,0,0,0,1,1,4,0,0,2,1,,2018-05-04 06:00:00
2018950000451,311732.0,667216.0,-3.4128550000000004,55.889954,95,3,2,1,4,940,S12000040,6,0,6,30,0,-1,-1,0,0,0,1,3,3,0,0,2,2,,2018-04-04 18:15:00
